,event_type,start_time,duration,end_time
0,Fibonacci,2024-12-11 11:06:05+01:00,422,2024-12-11 11:06:06+01:00
1,tests/action1.spec.js,2024-12-11 11:08:06+01:00,18571,2024-12-11 11:08:24+01:00
2,tests/action1.spec.js,2024-12-11 11:10:24+01:00,13212,2024-12-11 11:10:38+01:00
3,tests/action1.spec.js,2024-12-11 11:12:38+01:00,13217,2024-12-11 11:12:51+01:00
4,tests/action1.spec.js,2024-12-11 11:14:51+01:00,13309,2024-12-11 11:15:04+01:00
5,tests/action1.spec.js,2024-12-11 11:17:04+01:00,13320,2024-12-11 11:17:18+01:00
6,tests/action1.spec.js,2024-12-11 11:19:18+01:00,13626,2024-12-11 11:19:31+01:00
7,tests/action1.spec.js,2024-12-11 11:21:31+01:00,13587,2024-12-11 11:21:45+01:00
8,tests/action1.spec.js,2024-12-11 11:23:45+01:00,13257,2024-12-11 11:23:58+01:00
9,tests/action1.spec.js,2024-12-11 11:25:58+01:00,13201,2024-12-11 11:26:12+01:00
10,tests/action1.spec.js,2024-12-11 11:28:12+01:00,13388,2024-12-11 11:28:25+01:00
11,tests/action1.spec.js,2024-12-11 11:30:25+01:00,13393,2024-12-11 11:30:38+01:00
12,tests/action1.spec.js,2024-12-11 11:32:38+01:00,13136,2024-12-11 11:32:52+01:00
13,tests/action1.spec.js,2024-12-11 11:34:52+01:00,13669,2024-12-11 11:35:05+01:00
14,tests/action1.spec.js,2024-12-11 11:37:05+01:00,13248,2024-12-11 11:37:19+01:00
15,tests/action1.spec.js,2024-12-11 11:39:19+01:00,13567,2024-12-11 11:39:32+01:00
16,tests/action1.spec.js,2024-12-11 11:41:32+01:00,13366,2024-12-11 11:41:46+01:00
17,tests/action1.spec.js,2024-12-11 11:43:46+01:00,13190,2024-12-11 11:43:59+01:00
18,tests/action1.spec.js,2024-12-11 11:45:59+01:00,13228,2024-12-11 11:46:12+01:00
19,tests/action1.spec.js,2024-12-11 11:48:12+01:00,13286,2024-12-11 11:48:25+01:00
20,tests/action1.spec.js,2024-12-11 11:50:25+01:00,13254,2024-12-11 11:50:39+01:00
21,tests/action1.spec.js,2024-12-11 11:52:39+01:00,13295,2024-12-11 11:52:52+01:00
22,tests/action1.spec.js,2024-12-11 11:54:52+01:00,13315,2024-12-11 11:55:05+01:00
23,tests/action1.spec.js,2024-12-11 11:57:05+01:00,13601,2024-12-11 11:57:19+01:00
24,tests/action1.spec.js,2024-12-11 11:59:19+01:00,13333,2024-12-11 11:59:32+01:00
25,tests/action1.spec.js,2024-12-11 12:01:33+01:00,13213,2024-12-11 12:01:46+01:00
26,tests/action1.spec.js,2024-12-11 12:03:46+01:00,13498,2024-12-11 12:03:59+01:00
