,event_type,start_time,duration,end_time
0,Fibonacci,2024-12-11 09:42:33+01:00,1467,2024-12-11 09:42:35+01:00
1,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 09:50:05+01:00,18822,2024-12-11 09:50:24+01:00
2,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 09:55:24+01:00,13124,2024-12-11 09:55:37+01:00
3,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:00:37+01:00,13359,2024-12-11 10:00:50+01:00
4,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:05:50+01:00,13101,2024-12-11 10:06:03+01:00
5,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:11:03+01:00,13554,2024-12-11 10:11:17+01:00
6,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:16:17+01:00,13342,2024-12-11 10:16:30+01:00
7,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:21:30+01:00,13528,2024-12-11 10:21:44+01:00
8,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:26:44+01:00,12929,2024-12-11 10:26:57+01:00
9,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:31:57+01:00,13062,2024-12-11 10:32:10+01:00
10,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:37:10+01:00,13152,2024-12-11 10:37:23+01:00
11,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:42:23+01:00,13198,2024-12-11 10:42:37+01:00
12,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:47:37+01:00,13652,2024-12-11 10:47:50+01:00
13,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:52:50+01:00,13388,2024-12-11 10:53:04+01:00
14,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 10:58:04+01:00,13361,2024-12-11 10:58:17+01:00
15,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 11:03:17+01:00,13354,2024-12-11 11:03:31+01:00
16,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 11:08:31+01:00,13003,2024-12-11 11:08:44+01:00
17,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 11:13:44+01:00,13199,2024-12-11 11:13:57+01:00
18,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 11:18:57+01:00,13551,2024-12-11 11:19:10+01:00
19,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 11:24:10+01:00,13329,2024-12-11 11:24:24+01:00
20,PuppeteerEC/tests/puppeteer_actions/action1.js,2024-12-11 11:29:24+01:00,13333,2024-12-11 11:29:37+01:00
