framework,action_category,energy_action
Nightwatch,refresh,0.30017686224489765
Nightwatch,refresh,0.222698290816327
Nightwatch,refresh,0.2169384693877541
Nightwatch,refresh,0.21928007653061202
Nightwatch,refresh,0.2231920408163267
Nightwatch,refresh,0.22428186224489766
Nightwatch,refresh,0.2312441836734692
Nightwatch,refresh,0.22392525510204056
Nightwatch,refresh,0.22231596938775483
Nightwatch,refresh,0.22319043367346955
Nightwatch,refresh,0.24765454081632673
Nightwatch,refresh,0.21963846938775486
Nightwatch,refresh,0.22606436224489776
Nightwatch,refresh,0.224082755102041
Nightwatch,refresh,0.22838971938774952
Nightwatch,refresh,0.22211757653060757
Nightwatch,refresh,0.22196061224489755
Nightwatch,refresh,0.21999614795918332
Nightwatch,refresh,0.21944007653060774
Nightwatch,refresh,0.22015418367346484
Nightwatch,refresh,0.2292595408163216
Nightwatch,refresh,0.2449965051020405
Nightwatch,refresh,0.23158221938775045
Nightwatch,refresh,0.22394686224490207
Nightwatch,refresh,0.22015400510203623
Nightwatch,refresh,0.2230318622448976
Nightwatch,refresh,0.24586668367346443
Nightwatch,refresh,0.22251846938775927
Nightwatch,refresh,0.22571079081632622
Nightwatch,refresh,0.2281888265306075
Nightwatch,refresh,0.2192850765306125
Nightwatch,refresh,0.22874329081632558
Nightwatch,refresh,0.21787739795918815
Nightwatch,refresh,0.22247436224489314
Nightwatch,refresh,0.22501936224490235
Nightwatch,left click,0.2721500306122466
Nightwatch,left click,0.2717227448979611
Nightwatch,left click,0.27057674489796046
Nightwatch,left click,0.27199910204081634
Nightwatch,left click,0.27364053061224464
Nightwatch,left click,0.2697923163265321
Nightwatch,left click,0.2699268163265305
Nightwatch,left click,0.2739271020408162
Nightwatch,left click,0.2698548877551017
Nightwatch,left click,0.2696413163265305
Nightwatch,left click,0.26885524489795903
Nightwatch,left click,0.27556045918367145
Nightwatch,left click,0.2700616020408145
Nightwatch,left click,0.27249160204081485
Nightwatch,left click,0.2747138877551022
Nightwatch,left click,0.2703554591836733
Nightwatch,left click,0.27036388775510356
Nightwatch,left click,0.2727047448979575
Nightwatch,left click,0.26870431632652875
Nightwatch,left click,0.27221417346938787
Nightwatch,left click,0.2721329591836871
