"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.227,0.0037833333,1734356908.674,5,0.36,1.8,0,0,0
1,1.227,0.02045,1734356909.674,5,0.36,1.8,0,0,0
2,2.228,0.0371333333,1734356910.684,5,0.36,1.8,0,0,0
3,3.227,0.0537833333,1734356911.677,5,0.36,1.8,0,0,0
4,4.227,0.07045,1734356912.674,5,0.36,1.8,0,0,0
5,5.227,0.0871166667,1734356913.676,5,0.36,1.8,0,0,0
6,6.227,0.1037833333,1734356914.676,5,0.36,1.8,0,0,0
7,7.227,0.12045,1734356915.698,5,0.36,1.8,0,0,0
8,8.227,0.1371166667,1734356916.676,5,0.36,1.8,0,0,0
9,9.228,0.1538,1734356917.674,5,0.36,1.8,0,0,0
10,10.227,0.17045,1734356918.672,5,0.36,1.8,0,0,0
11,11.227,0.1871166667,1734356919.673,5,0.36,1.8,0,0,0
12,12.227,0.2037833333,1734356920.674,5,0.36,1.8,0,0,0
13,13.227,0.22045,1734356921.673,5,0.6,3,0,0,0
14,14.227,0.2371166667,1734356922.676,5,0.56,2.8,0,0,0
15,15.228,0.2538,1734356923.678,5,0.57,2.85,0,0,0
16,16.227,0.27045,1734356924.673,5,0.44,2.2,0,0,0
17,17.227,0.2871166667,1734356925.674,5,0.44,2.2,0,0,0
18,18.227,0.3037833333,1734356926.675,5,0.36,1.8,0,0,0
19,19.227,0.32045,1734356927.7,5,0.36,1.8,0,0,0
20,20.227,0.3371166667,1734356928.673,5,0.36,1.8,0,0,0
21,21.227,0.3537833333,1734356929.675,5,0.36,1.8,0,0,0
22,22.227,0.37045,1734356930.678,5,0.36,1.8,0,0,0
23,23.228,0.3871333333,1734356931.677,5,0.36,1.8,0,0,0
24,24.228,0.4038,1734356932.679,5,0.36,1.8,0,0,0
25,25.227,0.42045,1734356933.675,5,0.36,1.8,0,0,0
26,26.228,0.4371333333,1734356934.678,5,0.36,1.8,0,0,0
27,27.228,0.4538,1734356935.675,5,0.36,1.8,0,0,0
28,28.227,0.47045,1734356936.681,5,0.36,1.8,0,0,0
29,29.227,0.4871166667,1734356937.679,5,0.36,1.8,0,0,0
30,30.227,0.5037833333,1734356938.677,5,0.36,1.8,0,0,0
31,31.228,0.5204666667,1734356939.702,5,0.36,1.8,0,0,0
32,32.227,0.5371166667,1734356940.674,5,0.36,1.8,0,0,0
33,33.227,0.5537833333,1734356941.679,5,0.36,1.8,0,0,0
34,34.228,0.5704666667,1734356942.675,5,0.36,1.8,0,0,0
35,35.228,0.5871333333,1734356943.672,5,0.36,1.8,0,0,0
36,36.228,0.6038,1734356944.678,5,0.36,1.8,0,0,0
37,37.227,0.62045,1734356945.674,5,0.36,1.8,0,0,0
38,38.227,0.6371166667,1734356946.675,5,0.36,1.8,0,0,0
39,39.227,0.6537833333,1734356947.679,5,0.36,1.8,0,0,0
40,40.227,0.67045,1734356948.676,5,0.36,1.8,0,0,0
41,41.228,0.6871333333,1734356949.678,5,0.36,1.8,0,0,0
42,42.228,0.7038,1734356950.675,5,0.36,1.8,0,0,0
43,43.228,0.7204666667,1734356951.699,5,0.36,1.8,0,0,0
44,44.228,0.7371333333,1734356952.676,5,0.36,1.8,0,0,0
45,45.227,0.7537833333,1734356953.678,5,0.36,1.8,0,0,0
46,46.227,0.77045,1734356954.675,5,0.44,2.2,0,0,0
47,47.227,0.7871166667,1734356955.676,5,0.44,2.2,0,0,0
48,48.227,0.8037833333,1734356956.675,5,0.44,2.2,0,0,0
49,49.227,0.82045,1734356957.674,5,0.44,2.2,0,0,0
50,50.227,0.8371166667,1734356958.68,5,0.44,2.2,0,0,0
51,51.227,0.8537833333,1734356959.675,5,0.36,1.8,0,0,0
52,52.227,0.87045,1734356960.676,5,0.36,1.8,0,0,0
53,53.227,0.8871166667,1734356961.678,5,0.36,1.8,0,0,0
54,54.227,0.9037833333,1734356962.683,5,0.36,1.8,0,0,0
55,55.227,0.92045,1734356963.672,5,0.36,1.8,0,0,0
56,56.228,0.9371333333,1734356964.677,5,0.36,1.8,0,0,0
57,57.227,0.9537833333,1734356965.674,5,0.36,1.8,0,0,0
58,58.227,0.97045,1734356966.675,5,0.36,1.8,0,0,0
59,59.227,0.9871166667,1734356967.676,5,0.36,1.8,0,0,0
60,60.228,1.0038,1734356968.678,5,0.36,1.8,0,0,0
61,61.227,1.02045,1734356969.676,5,0.36,1.8,0,0,0
62,62.227,1.0371166667,1734356970.673,5,0.36,1.8,0,0,0
63,63.227,1.0537833333,1734356971.675,5,0.36,1.8,0,0,0
64,64.227,1.07045,1734356972.676,5,0.36,1.8,0,0,0
65,65.228,1.0871333333,1734356973.68,5,0.36,1.8,0,0,0
66,66.227,1.1037833333,1734356974.701,5,0.36,1.8,0,0,0
67,67.227,1.12045,1734356975.674,5,0.36,1.8,0,0,0
68,68.227,1.1371166667,1734356976.674,5,0.36,1.8,0,0,0
69,69.227,1.1537833333,1734356977.679,5,0.36,1.8,0,0,0
70,70.228,1.1704666667,1734356978.677,5,0.36,1.8,0,0,0
71,71.228,1.1871333333,1734356979.674,5,0.36,1.8,0,0,0
72,72.228,1.2038,1734356980.68,5,0.36,1.8,0,0,0
73,73.227,1.22045,1734356981.677,5,0.36,1.8,0,0,0
74,74.228,1.2371333333,1734356982.675,5,0.36,1.8,0,0,0
75,75.227,1.2537833333,1734356983.673,5,0.36,1.8,0,0,0
76,76.227,1.27045,1734356984.679,5,0.36,1.8,0,0,0
77,77.227,1.2871166667,1734356985.676,5,0.36,1.8,0,0,0
78,78.227,1.3037833333,1734356986.703,5,0.36,1.8,0,0,0
79,79.227,1.32045,1734356987.675,5,0.36,1.8,0,0,0
80,80.227,1.3371166667,1734356988.673,5,0.36,1.8,0,0,0
81,81.227,1.3537833333,1734356989.677,5,0.36,1.8,0,0,0
82,82.227,1.37045,1734356990.673,5,0.36,1.8,0,0,0
83,83.228,1.3871333333,1734356991.679,5,0.36,1.8,0,0,0
84,84.228,1.4038,1734356992.674,5,0.36,1.8,0,0,0
85,85.227,1.42045,1734356993.677,5,0.36,1.8,0,0,0
86,86.227,1.4371166667,1734356994.678,5,0.36,1.8,0,0,0
87,87.227,1.4537833333,1734356995.677,5,0.36,1.8,0,0,0
88,88.227,1.47045,1734356996.678,5,0.36,1.8,0,0,0
89,89.227,1.4871166667,1734356997.68,5,0.36,1.8,0,0,0
90,90.227,1.5037833333,1734356998.695,5,0.36,1.8,0,0,0
91,91.228,1.5204666667,1734356999.674,5,0.36,1.8,0,0,0
92,92.227,1.5371166667,1734357000.679,5,0.36,1.8,0,0,0
93,93.227,1.5537833333,1734357001.673,5,0.36,1.8,0,0,0
94,94.228,1.5704666667,1734357002.676,5,0.36,1.8,0,0,0
95,95.227,1.5871166667,1734357003.672,5,0.36,1.8,0,0,0
96,96.228,1.6038,1734357004.679,5,0.36,1.8,0,0,0
97,97.228,1.6204666667,1734357005.68,5,0.36,1.8,0,0,0
98,98.228,1.6371333333,1734357006.68,5,0.36,1.8,0,0,0
99,99.227,1.6537833333,1734357007.677,5,0.36,1.8,0,0,0
100,100.227,1.67045,1734357008.677,5,0.36,1.8,0,0,0
101,101.227,1.6871166667,1734357009.678,5,0.36,1.8,0,0,0
102,102.227,1.7037833333,1734357010.696,5,0.36,1.8,0,0,0
103,103.227,1.72045,1734357011.674,5,0.36,1.8,0,0,0
104,104.228,1.7371333333,1734357012.674,5,0.36,1.8,0,0,0
105,105.227,1.7537833333,1734357013.676,5,0.36,1.8,0,0,0
106,106.227,1.77045,1734357014.68,5,0.36,1.8,0,0,0
107,107.228,1.7871333333,1734357015.68,5,0.37,1.85,0,0,0
108,108.228,1.8038,1734357016.678,5,0.36,1.8,0,0,0
109,109.227,1.82045,1734357017.678,5,0.36,1.8,0,0,0
110,110.227,1.8371166667,1734357018.677,5,0.36,1.8,0,0,0
111,111.227,1.8537833333,1734357019.684,5,0.36,1.8,0,0,0
112,112.227,1.87045,1734357020.68,5,0.36,1.8,0,0,0
113,113.227,1.8871166667,1734357021.677,5,0.36,1.8,0,0,0
114,114.227,1.9037833333,1734357022.686,5,0.36,1.8,0,0,0
115,115.227,1.92045,1734357023.674,5,0.36,1.8,0,0,0
116,116.227,1.9371166667,1734357024.675,5,0.36,1.8,0,0,0
117,117.227,1.9537833333,1734357025.676,5,0.36,1.8,0,0,0
118,118.227,1.97045,1734357026.678,5,0.36,1.8,0,0,0
119,119.228,1.9871333333,1734357027.674,5,0.36,1.8,0,0,0
120,120.228,2.0038,1734357028.681,5,0.36,1.8,0,0,0
121,121.228,2.0204666667,1734357029.675,5,0.36,1.8,0,0,0
122,122.227,2.0371166667,1734357030.674,5,0.36,1.8,0,0,0
123,123.227,2.0537833333,1734357031.678,5,0.36,1.8,0,0,0
124,124.227,2.07045,1734357032.68,5,0.36,1.8,0,0,0
125,125.227,2.0871166667,1734357033.677,5,0.36,1.8,0,0,0
126,126.227,2.1037833333,1734357034.683,5,0.36,1.8,0,0,0
127,127.228,2.1204666667,1734357035.673,5,0.36,1.8,0,0,0
128,128.227,2.1371166667,1734357036.672,5,0.36,1.8,0,0,0
129,129.228,2.1538,1734357037.676,5,0.36,1.8,0,0,0
130,130.227,2.17045,1734357038.674,5,0.36,1.8,0,0,0
131,131.227,2.1871166667,1734357039.673,5,0.36,1.8,0,0,0
132,132.228,2.2038,1734357040.674,5,0.36,1.8,0,0,0
133,133.227,2.22045,1734357041.679,5,0.36,1.8,0,0,0
134,134.228,2.2371333333,1734357042.677,5,0.36,1.8,0,0,0
135,135.227,2.2537833333,1734357043.675,5,0.36,1.8,0,0,0
136,136.227,2.27045,1734357044.676,5,0.36,1.8,0,0,0
137,137.227,2.2871166667,1734357045.674,5,0.36,1.8,0,0,0
138,138.228,2.3038,1734357046.698,5,0.36,1.8,0,0,0
139,139.227,2.32045,1734357047.673,5,0.36,1.8,0,0,0
140,140.228,2.3371333333,1734357048.678,5,0.36,1.8,0,0,0
141,141.227,2.3537833333,1734357049.675,5,0.36,1.8,0,0,0
142,142.227,2.37045,1734357050.677,5,0.36,1.8,0,0,0
143,143.227,2.3871166667,1734357051.678,5,0.36,1.8,0,0,0
144,144.227,2.4037833333,1734357052.677,5,0.36,1.8,0,0,0
145,145.227,2.42045,1734357053.68,5,0.36,1.8,0,0,0
146,146.227,2.4371166667,1734357054.674,5,0.36,1.8,0,0,0
147,147.228,2.4538,1734357055.678,5,0.36,1.8,0,0,0
148,148.227,2.47045,1734357056.674,5,0.36,1.8,0,0,0
149,149.227,2.4871166667,1734357057.679,5,0.36,1.8,0,0,0
150,150.228,2.5038,1734357058.694,5,0.36,1.8,0,0,0
151,151.227,2.52045,1734357059.676,5,0.36,1.8,0,0,0
152,152.227,2.5371166667,1734357060.676,5,0.36,1.8,0,0,0
153,153.228,2.5538,1734357061.68,5,0.36,1.8,0,0,0
154,154.227,2.57045,1734357062.674,5,0.36,1.8,0,0,0
155,155.227,2.5871166667,1734357063.679,5,0.36,1.8,0,0,0
156,156.227,2.6037833333,1734357064.675,5,0.36,1.8,0,0,0
157,157.228,2.6204666667,1734357065.678,5,0.36,1.8,0,0,0
158,158.227,2.6371166667,1734357066.674,5,0.36,1.8,0,0,0
159,159.228,2.6538,1734357067.677,5,0.36,1.8,0,0,0
160,160.227,2.67045,1734357068.675,5,0.36,1.8,0,0,0
161,161.227,2.6871166667,1734357069.698,5,0.36,1.8,0,0,0
162,162.227,2.7037833333,1734357070.678,5,0.36,1.8,0,0,0
163,163.228,2.7204666667,1734357071.678,5,0.36,1.8,0,0,0
164,164.227,2.7371166667,1734357072.68,5,0.36,1.8,0,0,0
165,165.227,2.7537833333,1734357073.675,5,0.36,1.8,0,0,0
166,166.228,2.7704666667,1734357074.684,5,0.57,2.85,0,0,0
167,167.227,2.7871166667,1734357075.674,5,0.58,2.9,0,0,0
168,168.228,2.8038,1734357076.673,5,0.66,3.3,0,0,0
169,169.227,2.82045,1734357077.676,5,0.59,2.95,0,0,0
170,170.227,2.8371166667,1734357078.674,5,0.56,2.8,0,0,0
171,171.228,2.8538,1734357079.676,5,0.49,2.45,0,0,0
172,172.228,2.8704666667,1734357080.677,5,0.55,2.75,0,0,0
173,173.227,2.8871166667,1734357081.697,5,0.54,2.7,0,0,0
174,174.228,2.9038,1734357082.679,5,0.61,3.05,0,0,0
175,175.227,2.92045,1734357083.673,5,0.63,3.15,0,0,0
176,176.227,2.9371166667,1734357084.677,5,0.63,3.15,0,0,0
177,177.227,2.9537833333,1734357085.676,5,0.65,3.25,0,0,0
178,178.228,2.9704666667,1734357086.676,5,0.66,3.3,0,0,0
179,179.227,2.9871166667,1734357087.677,5,0.64,3.2,0,0,0
180,180.227,3.0037833333,1734357088.678,5,0.64,3.2,0,0,0
181,181.227,3.02045,1734357089.674,5,0.65,3.25,0,0,0
182,182.228,3.0371333333,1734357090.674,5,0.73,3.65,0,0,0
183,183.228,3.0538,1734357091.674,5,0.49,2.45,0,0,0
184,184.227,3.07045,1734357092.698,5,0.44,2.2,0,0,0
185,185.227,3.0871166667,1734357093.676,5,0.44,2.2,0,0,0
186,186.227,3.1037833333,1734357094.675,5,0.44,2.2,0,0,0
