"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.186,0.0031,1734016124.389,5,0.36,1.8,0,0,0
1,1.186,0.0197666667,1734016125.386,5,0.36,1.8,0,0,0
2,2.186,0.0364333333,1734016126.386,5,0.36,1.8,0,0,0
3,3.186,0.0531,1734016127.393,5,0.36,1.8,0,0,0
4,4.186,0.0697666667,1734016128.388,5,0.36,1.8,0,0,0
5,5.186,0.0864333333,1734016129.408,5,0.36,1.8,0,0,0
6,6.187,0.1031166667,1734016130.389,5,0.36,1.8,0,0,0
7,7.187,0.1197833333,1734016131.385,5,0.36,1.8,0,0,0
8,8.186,0.1364333333,1734016132.388,5,0.36,1.8,0,0,0
9,9.187,0.1531166667,1734016133.393,5,0.36,1.8,0,0,0
10,10.187,0.1697833333,1734016134.386,5,0.36,1.8,0,0,0
11,11.186,0.1864333333,1734016135.387,5,0.36,1.8,0,0,0
12,12.187,0.2031166667,1734016136.391,5,0.36,1.8,0,0,0
13,13.186,0.2197666667,1734016137.385,5,0.6,3,0,0,0
14,14.186,0.2364333333,1734016138.388,5,0.56,2.8,0,0,0
15,15.186,0.2531,1734016139.388,5,0.51,2.55,0,0,0
16,16.186,0.2697666667,1734016140.393,5,0.44,2.2,0,0,0
17,17.187,0.28645,1734016141.383,5,0.44,2.2,0,0,0
18,18.187,0.3031166667,1734016142.39,5,0.36,1.8,0,0,0
19,19.186,0.3197666667,1734016143.386,5,0.36,1.8,0,0,0
20,20.187,0.33645,1734016144.385,5,0.36,1.8,0,0,0
21,21.186,0.3531,1734016145.389,5,0.36,1.8,0,0,0
22,22.186,0.3697666667,1734016146.385,5,0.36,1.8,0,0,0
23,23.186,0.3864333333,1734016147.386,5,0.36,1.8,0,0,0
24,24.186,0.4031,1734016148.384,5,0.36,1.8,0,0,0
25,25.187,0.4197833333,1734016149.386,5,0.36,1.8,0,0,0
26,26.186,0.4364333333,1734016150.389,5,0.36,1.8,0,0,0
27,27.187,0.4531166667,1734016151.389,5,0.36,1.8,0,0,0
28,28.187,0.4697833333,1734016152.389,5,0.36,1.8,0,0,0
29,29.186,0.4864333333,1734016153.406,5,0.36,1.8,0,0,0
30,30.187,0.5031166667,1734016154.389,5,0.36,1.8,0,0,0
31,31.186,0.5197666667,1734016155.387,5,0.36,1.8,0,0,0
32,32.186,0.5364333333,1734016156.389,5,0.36,1.8,0,0,0
33,33.186,0.5531,1734016157.386,5,0.36,1.8,0,0,0
34,34.187,0.5697833333,1734016158.389,5,0.36,1.8,0,0,0
35,35.187,0.58645,1734016159.391,5,0.36,1.8,0,0,0
36,36.186,0.6031,1734016160.387,5,0.36,1.8,0,0,0
37,37.186,0.6197666667,1734016161.384,5,0.36,1.8,0,0,0
38,38.186,0.6364333333,1734016162.387,5,0.36,1.8,0,0,0
39,39.186,0.6531,1734016163.39,5,0.36,1.8,0,0,0
40,40.186,0.6697666667,1734016164.412,5,0.36,1.8,0,0,0
41,41.186,0.6864333333,1734016165.391,5,0.37,1.85,0,0,0
