"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.084,0.0014,1734448021.403,5,0.36,1.8,0,0,0
1,1.084,0.0180666667,1734448022.406,5,0.36,1.8,0,0,0
2,2.085,0.03475,1734448023.403,5,0.36,1.8,0,0,0
3,3.084,0.0514,1734448024.401,5,0.36,1.8,0,0,0
4,4.084,0.0680666667,1734448025.403,5,0.36,1.8,0,0,0
5,5.085,0.08475,1734448026.406,5,0.36,1.8,0,0,0
6,6.084,0.1014,1734448027.405,5,0.36,1.8,0,0,0
7,7.084,0.1180666667,1734448028.404,5,0.36,1.8,0,0,0
8,8.084,0.1347333333,1734448029.402,5,0.36,1.8,0,0,0
9,9.084,0.1514,1734448030.42,5,0.36,1.8,0,0,0
10,10.084,0.1680666667,1734448031.401,5,0.36,1.8,0,0,0
11,11.084,0.1847333333,1734448032.402,5,0.36,1.8,0,0,0
12,12.084,0.2014,1734448033.408,5,0.44,2.2,0,0,0
13,13.084,0.2180666667,1734448034.403,5,0.62,3.1,0,0,0
14,14.085,0.23475,1734448035.407,5,0.6,3,0,0,0
15,15.084,0.2514,1734448036.402,5,0.57,2.85,0,0,0
16,16.085,0.2680833333,1734448037.401,5,0.53,2.65,0,0,0
17,17.085,0.28475,1734448038.407,5,0.64,3.2,0,0,0
18,18.084,0.3014,1734448039.401,5,0.58,2.9,0,0,0
19,19.084,0.3180666667,1734448040.402,5,0.44,2.2,0,0,0
20,20.084,0.3347333333,1734448041.423,5,0.44,2.2,0,0,0
21,21.084,0.3514,1734448042.403,5,0.44,2.2,0,0,0
22,22.084,0.3680666667,1734448043.401,5,0.36,1.8,0,0,0
23,23.084,0.3847333333,1734448044.403,5,0.36,1.8,0,0,0
24,24.084,0.4014,1734448045.402,5,0.36,1.8,0,0,0
25,25.084,0.4180666667,1734448047.65,5,0.36,1.8,0,0,0
26,26.363,0.4393833333,1734448047.685,5,0.36,1.8,0,0,0
27,27.084,0.4514,1734448048.403,5,0.36,1.8,0,0,0
28,28.084,0.4680666667,1734448049.404,5,0.37,1.85,0,0,0
29,29.084,0.4847333333,1734448050.401,5,0.36,1.8,0,0,0
30,30.084,0.5014,1734448051.404,5,0.36,1.8,0,0,0
31,31.084,0.5180666667,1734448052.403,5,0.36,1.8,0,0,0
32,32.085,0.53475,1734448053.424,5,0.36,1.8,0,0,0
33,33.084,0.5514,1734448054.403,5,0.36,1.8,0,0,0
34,34.085,0.5680833333,1734448055.406,5,0.36,1.8,0,0,0
35,35.085,0.58475,1734448056.405,5,0.36,1.8,0,0,0
36,36.084,0.6014,1734448057.401,5,0.36,1.8,0,0,0
37,37.084,0.6180666667,1734448058.403,5,0.36,1.8,0,0,0
38,38.084,0.6347333333,1734448059.404,5,0.36,1.8,0,0,0
39,39.085,0.6514166667,1734448060.405,5,0.36,1.8,0,0,0
40,40.084,0.6680666667,1734448061.401,5,0.36,1.8,0,0,0
41,41.084,0.6847333333,1734448062.405,5,0.36,1.8,0,0,0
42,42.084,0.7014,1734448063.405,5,0.36,1.8,0,0,0
43,43.084,0.7180666667,1734448064.408,5,0.36,1.8,0,0,0
44,44.084,0.7347333333,1734448065.421,5,0.36,1.8,0,0,0
45,45.084,0.7514,1734448066.407,5,0.36,1.8,0,0,0
46,46.084,0.7680666667,1734448067.401,5,0.36,1.8,0,0,0
47,47.085,0.78475,1734448068.403,5,0.36,1.8,0,0,0
48,48.084,0.8014,1734448069.405,5,0.36,1.8,0,0,0
49,49.085,0.8180833333,1734448070.407,5,0.48,2.4,0,0,0
50,50.084,0.8347333333,1734448071.407,5,0.47,2.35,0,0,0
51,51.084,0.8514,1734448072.403,5,0.47,2.35,0,0,0
52,52.085,0.8680833333,1734448073.403,5,0.48,2.4,0,0,0
53,53.084,0.8847333333,1734448074.4,5,0.49,2.45,0,0,0
54,54.085,0.9014166667,1734448075.403,5,0.42,2.1,0,0,0
55,55.084,0.9180666667,1734448076.422,5,0.51,2.55,0,0,0
56,56.085,0.93475,1734448077.404,5,0.44,2.2,0,0,0
57,57.084,0.9514,1734448078.401,5,0.44,2.2,0,0,0
58,58.085,0.9680833333,1734448079.403,5,0.44,2.2,0,0,0
59,59.084,0.9847333333,1734448080.407,5,0.44,2.2,0,0,0
60,60.085,1.0014166667,1734448081.404,5,0.44,2.2,0,0,0
61,61.084,1.0180666667,1734448082.405,5,0.36,1.8,0,0,0
62,62.084,1.0347333333,1734448083.401,5,0.36,1.8,0,0,0
63,63.084,1.0514,1734448084.403,5,0.36,1.8,0,0,0
64,64.084,1.0680666667,1734448085.403,5,0.36,1.8,0,0,0
65,65.084,1.0847333333,1734448086.408,5,0.36,1.8,0,0,0
66,66.084,1.1014,1734448087.41,5,0.36,1.8,0,0,0
67,67.084,1.1180666667,1734448088.426,5,0.36,1.8,0,0,0
68,68.084,1.1347333333,1734448089.407,5,0.36,1.8,0,0,0
69,69.084,1.1514,1734448090.405,5,0.36,1.8,0,0,0
70,70.084,1.1680666667,1734448091.403,5,0.36,1.8,0,0,0
71,71.085,1.18475,1734448092.407,5,0.36,1.8,0,0,0
72,72.084,1.2014,1734448093.405,5,0.36,1.8,0,0,0
73,73.085,1.2180833333,1734448094.404,5,0.36,1.8,0,0,0
74,74.084,1.2347333333,1734448095.402,5,0.36,1.8,0,0,0
75,75.084,1.2514,1734448096.405,5,0.36,1.8,0,0,0
76,76.084,1.2680666667,1734448097.402,5,0.36,1.8,0,0,0
77,77.084,1.2847333333,1734448098.403,5,0.36,1.8,0,0,0
78,78.085,1.3014166667,1734448099.431,5,0.36,1.8,0,0,0
79,79.084,1.3180666667,1734448100.401,5,0.36,1.8,0,0,0
80,80.085,1.33475,1734448101.407,5,0.36,1.8,0,0,0
81,81.084,1.3514,1734448102.409,5,0.36,1.8,0,0,0
82,82.085,1.3680833333,1734448103.404,5,0.36,1.8,0,0,0
83,83.084,1.3847333333,1734448104.4,5,0.36,1.8,0,0,0
84,84.085,1.4014166667,1734448105.404,5,0.36,1.8,0,0,0
85,85.084,1.4180666667,1734448106.404,5,0.36,1.8,0,0,0
86,86.084,1.4347333333,1734448107.401,5,0.36,1.8,0,0,0
87,87.084,1.4514,1734448108.404,5,0.36,1.8,0,0,0
88,88.085,1.4680833333,1734448109.401,5,0.36,1.8,0,0,0
89,89.084,1.4847333333,1734448110.403,5,0.36,1.8,0,0,0
90,90.084,1.5014,1734448111.424,5,0.36,1.8,0,0,0
91,91.085,1.5180833333,1734448112.402,5,0.36,1.8,0,0,0
92,92.084,1.5347333333,1734448113.401,5,0.36,1.8,0,0,0
93,93.085,1.5514166667,1734448114.405,5,0.36,1.8,0,0,0
94,94.085,1.5680833333,1734448115.405,5,0.36,1.8,0,0,0
95,95.084,1.5847333333,1734448116.402,5,0.36,1.8,0,0,0
96,96.084,1.6014,1734448117.402,5,0.36,1.8,0,0,0
97,97.084,1.6180666667,1734448118.403,5,0.36,1.8,0,0,0
98,98.084,1.6347333333,1734448119.401,5,0.36,1.8,0,0,0
99,99.084,1.6514,1734448120.407,5,0.36,1.8,0,0,0
100,100.085,1.6680833333,1734448121.405,5,0.36,1.8,0,0,0
101,101.084,1.6847333333,1734448122.401,5,0.36,1.8,0,0,0
102,102.085,1.7014166667,1734448123.422,5,0.36,1.8,0,0,0
103,103.084,1.7180666667,1734448124.401,5,0.36,1.8,0,0,0
104,104.084,1.7347333333,1734448125.406,5,0.36,1.8,0,0,0
105,105.084,1.7514,1734448126.403,5,0.36,1.8,0,0,0
106,106.084,1.7680666667,1734448127.402,5,0.36,1.8,0,0,0
107,107.084,1.7847333333,1734448128.406,5,0.36,1.8,0,0,0
108,108.084,1.8014,1734448129.401,5,0.36,1.8,0,0,0
109,109.084,1.8180666667,1734448130.401,5,0.36,1.8,0,0,0
110,110.084,1.8347333333,1734448131.4,5,0.36,1.8,0,0,0
111,111.084,1.8514,1734448132.405,5,0.36,1.8,0,0,0
112,112.085,1.8680833333,1734448133.405,5,0.36,1.8,0,0,0
113,113.085,1.88475,1734448134.401,5,0.36,1.8,0,0,0
114,114.084,1.9014,1734448135.426,5,0.36,1.8,0,0,0
115,115.084,1.9180666667,1734448136.404,5,0.36,1.8,0,0,0
116,116.084,1.9347333333,1734448137.403,5,0.36,1.8,0,0,0
117,117.085,1.9514166667,1734448138.402,5,0.36,1.8,0,0,0
118,118.085,1.9680833333,1734448139.404,5,0.36,1.8,0,0,0
119,119.085,1.98475,1734448140.405,5,0.36,1.8,0,0,0
120,120.084,2.0014,1734448141.405,5,0.36,1.8,0,0,0
121,121.084,2.0180666667,1734448142.401,5,0.36,1.8,0,0,0
122,122.084,2.0347333333,1734448143.404,5,0.36,1.8,0,0,0
123,123.084,2.0514,1734448144.407,5,0.36,1.8,0,0,0
124,124.084,2.0680666667,1734448145.402,5,0.36,1.8,0,0,0
125,125.084,2.0847333333,1734448146.407,5,0.36,1.8,0,0,0
126,126.085,2.1014166667,1734448147.399,5,0.36,1.8,0,0,0
127,127.084,2.1180666667,1734448148.403,5,0.36,1.8,0,0,0
128,128.084,2.1347333333,1734448149.405,5,0.36,1.8,0,0,0
129,129.084,2.1514,1734448150.401,5,0.36,1.8,0,0,0
130,130.085,2.1680833333,1734448151.404,5,0.36,1.8,0,0,0
131,131.085,2.18475,1734448152.403,5,0.36,1.8,0,0,0
132,132.084,2.2014,1734448153.404,5,0.36,1.8,0,0,0
133,133.084,2.2180666667,1734448154.406,5,0.36,1.8,0,0,0
134,134.084,2.2347333333,1734448155.406,5,0.36,1.8,0,0,0
135,135.084,2.2514,1734448156.408,5,0.36,1.8,0,0,0
136,136.085,2.2680833333,1734448157.404,5,0.36,1.8,0,0,0
137,137.084,2.2847333333,1734448158.425,5,0.36,1.8,0,0,0
138,138.085,2.3014166667,1734448159.404,5,0.36,1.8,0,0,0
139,139.084,2.3180666667,1734448160.403,5,0.36,1.8,0,0,0
140,140.085,2.33475,1734448161.403,5,0.36,1.8,0,0,0
141,141.084,2.3514,1734448162.405,5,0.36,1.8,0,0,0
142,142.084,2.3680666667,1734448163.404,5,0.36,1.8,0,0,0
143,143.084,2.3847333333,1734448164.404,5,0.36,1.8,0,0,0
144,144.084,2.4014,1734448165.402,5,0.36,1.8,0,0,0
145,145.085,2.4180833333,1734448166.407,5,0.36,1.8,0,0,0
146,146.084,2.4347333333,1734448167.401,5,0.36,1.8,0,0,0
147,147.084,2.4514,1734448168.401,5,0.36,1.8,0,0,0
148,148.084,2.4680666667,1734448169.402,5,0.36,1.8,0,0,0
149,149.084,2.4847333333,1734448170.424,5,0.36,1.8,0,0,0
150,150.085,2.5014166667,1734448171.406,5,0.36,1.8,0,0,0
151,151.085,2.5180833333,1734448172.408,5,0.36,1.8,0,0,0
152,152.084,2.5347333333,1734448173.405,5,0.36,1.8,0,0,0
153,153.084,2.5514,1734448174.403,5,0.36,1.8,0,0,0
154,154.084,2.5680666667,1734448175.4,5,0.36,1.8,0,0,0
155,155.084,2.5847333333,1734448176.403,5,0.36,1.8,0,0,0
156,156.085,2.6014166667,1734448177.403,5,0.36,1.8,0,0,0
157,157.084,2.6180666667,1734448178.404,5,0.36,1.8,0,0,0
158,158.085,2.63475,1734448179.404,5,0.36,1.8,0,0,0
159,159.085,2.6514166667,1734448180.405,5,0.36,1.8,0,0,0
160,160.085,2.6680833333,1734448181.407,5,0.36,1.8,0,0,0
161,161.085,2.68475,1734448182.425,5,0.36,1.8,0,0,0
162,162.085,2.7014166667,1734448183.404,5,0.36,1.8,0,0,0
163,163.084,2.7180666667,1734448184.407,5,0.36,1.8,0,0,0
164,164.084,2.7347333333,1734448185.403,5,0.36,1.8,0,0,0
165,165.084,2.7514,1734448186.403,5,0.36,1.8,0,0,0
166,166.084,2.7680666667,1734448187.405,5,0.36,1.8,0,0,0
167,167.085,2.78475,1734448188.402,5,0.36,1.8,0,0,0
168,168.085,2.8014166667,1734448189.401,5,0.36,1.8,0,0,0
169,169.084,2.8180666667,1734448190.404,5,0.36,1.8,0,0,0
