"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.072,0.0012,1750253155.85,0,0,0,5,0.43,2.15
1,1.072,0.0178666667,1750253156.852,0,0,0,5,0.45,2.25
2,2.073,0.03455,1750253157.853,0,0,0,5,0.4,2
3,3.072,0.0512,1750253158.856,0,0,0,5,0.35,1.75
4,4.072,0.0678666667,1750253159.847,0,0,0,5,0.42,2.1
5,5.072,0.0845333333,1750253160.857,0,0,0,5,0.41,2.05
6,6.072,0.1012,1750253161.853,0,0,0,5,0.46,2.3
7,7.072,0.1178666667,1750253162.855,0,0,0,5,0.35,1.75
8,8.072,0.1345333333,1750253163.856,0,0,0,5,0.35,1.75
9,9.072,0.1512,1750253164.853,0,0,0,5,0.35,1.75
10,10.072,0.1678666667,1750253165.851,0,0,0,5,0.35,1.75
11,11.072,0.1845333333,1750253166.852,0,0,0,5,0.47,2.35
12,12.072,0.2012,1750253167.855,0,0,0,5,0.67,3.35
13,13.072,0.2178666667,1750253168.853,0,0,0,5,0.67,3.35
14,14.073,0.23455,1750253169.857,0,0,0,5,0.57,2.85
15,15.072,0.2512,1750253170.878,0,0,0,5,0.53,2.65
16,16.072,0.2678666667,1750253171.851,0,0,0,5,0.56,2.8
17,17.073,0.28455,1750253172.856,0,0,0,5,0.55,2.75
18,18.073,0.3012166667,1750253173.854,0,0,0,5,0.58,2.9
19,19.073,0.3178833333,1750253174.852,0,0,0,5,0.45,2.25
20,20.072,0.3345333333,1750253175.854,0,0,0,5,0.45,2.25
21,21.073,0.3512166667,1750253176.851,0,0,0,5,0.45,2.25
22,22.073,0.3678833333,1750253177.854,0,0,0,5,0.37,1.85
23,23.072,0.3845333333,1750253178.852,0,0,0,5,0.37,1.85
24,24.072,0.4012,1750253179.851,0,0,0,5,0.37,1.85
25,25.073,0.4178833333,1750253180.854,0,0,0,5,0.37,1.85
26,26.072,0.4345333333,1750253181.854,0,0,0,5,0.37,1.85
27,27.072,0.4512,1750253182.874,0,0,0,5,0.37,1.85
28,28.072,0.4678666667,1750253183.854,0,0,0,5,0.37,1.85
