"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.098,0.0016333333,1750246923.641,0,0,0,5,0.36,1.8
1,1.098,0.0183,1750246924.64,0,0,0,5,0.36,1.8
2,2.098,0.0349666667,1750246925.643,0,0,0,5,0.41,2.05
3,3.098,0.0516333333,1750246926.644,0,0,0,5,0.41,2.05
4,4.098,0.0683,1750246927.639,0,0,0,5,0.36,1.8
5,5.098,0.0849666667,1750246928.641,0,0,0,5,0.36,1.8
6,6.098,0.1016333333,1750246929.64,0,0,0,5,0.36,1.8
7,7.098,0.1183,1750246930.642,0,0,0,5,0.36,1.8
8,8.098,0.1349666667,1750246931.641,0,0,0,5,0.36,1.8
9,9.099,0.15165,1750246932.66,0,0,0,5,0.41,2.05
10,10.098,0.1683,1750246933.645,0,0,0,5,0.41,2.05
11,11.098,0.1849666667,1750246934.644,0,0,0,5,0.45,2.25
12,12.098,0.2016333333,1750246935.643,0,0,0,5,0.62,3.1
13,13.098,0.2183,1750246936.639,0,0,0,5,0.57,2.85
14,14.098,0.2349666667,1750246937.641,0,0,0,5,0.57,2.85
15,15.099,0.25165,1750246938.639,0,0,0,5,0.62,3.1
16,16.099,0.2683166667,1750246939.641,0,0,0,5,0.61,3.05
17,17.098,0.2849666667,1750246940.646,0,0,0,5,0.46,2.3
18,18.098,0.3016333333,1750246941.64,0,0,0,5,0.45,2.25
19,19.098,0.3183,1750246942.639,0,0,0,5,0.45,2.25
20,20.099,0.3349833333,1750246943.66,0,0,0,5,0.45,2.25
21,21.098,0.3516333333,1750246944.639,0,0,0,5,0.45,2.25
22,22.098,0.3683,1750246945.639,0,0,0,5,0.37,1.85
23,23.098,0.3849666667,1750246946.64,0,0,0,5,0.37,1.85
24,24.099,0.40165,1750246947.645,0,0,0,5,0.37,1.85
25,25.099,0.4183166667,1750246948.643,0,0,0,5,0.37,1.85
26,26.098,0.4349666667,1750246949.637,0,0,0,5,0.37,1.85
27,27.098,0.4516333333,1750246950.639,0,0,0,5,0.37,1.85
28,28.098,0.4683,1750246951.639,0,0,0,5,0.37,1.85
29,29.099,0.4849833333,1750246952.641,0,0,0,5,0.37,1.85
30,30.098,0.5016333333,1750246953.644,0,0,0,5,0.37,1.85
31,31.098,0.5183,1750246954.643,0,0,0,5,0.37,1.85
32,32.098,0.5349666667,1750246955.653,0,0,0,5,0.37,1.85
33,33.098,0.5516333333,1750246956.642,0,0,0,5,0.37,1.85
34,34.098,0.5683,1750246957.644,0,0,0,5,0.37,1.85
35,35.099,0.5849833333,1750246958.648,0,0,0,5,0.37,1.85
36,36.098,0.6016333333,1750246959.639,0,0,0,5,0.37,1.85
37,37.099,0.6183166667,1750246960.639,0,0,0,5,0.37,1.85
