"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.087,0.00145,1750259053.902,0,0,0,4.99,0.35,1.75
1,1.087,0.0181166667,1750259054.903,0,0,0,4.99,0.41,2.05
2,2.087,0.0347833333,1750259055.918,0,0,0,4.99,0.41,2.05
3,3.088,0.0514666667,1750259056.9,0,0,0,4.99,0.41,2.05
4,4.087,0.0681166667,1750259057.9,0,0,0,4.99,0.35,1.75
5,5.088,0.0848,1750259058.907,0,0,0,4.99,0.35,1.75
6,6.087,0.10145,1750259059.903,0,0,0,4.99,0.35,1.75
7,7.087,0.1181166667,1750259060.897,0,0,0,4.99,0.35,1.75
8,8.087,0.1347833333,1750259061.9,0,0,0,4.99,0.41,2.05
9,9.088,0.1514666667,1750259062.901,0,0,0,4.99,0.41,2.05
10,10.087,0.1681166667,1750259063.905,0,0,0,4.99,0.41,2.05
11,11.087,0.1847833333,1750259064.899,0,0,0,4.99,0.45,2.25
12,12.087,0.20145,1750259065.901,0,0,0,5,0.61,3.05
13,13.087,0.2181166667,1750259066.92,0,0,0,4.99,0.6,2.99
14,14.087,0.2347833333,1750259067.902,0,0,0,4.99,0.59,2.94
15,15.087,0.25145,1750259068.902,0,0,0,4.99,0.58,2.89
16,16.088,0.2681333333,1750259069.904,0,0,0,4.99,0.63,3.14
17,17.088,0.2848,1750259070.899,0,0,0,4.99,0.68,3.39
18,18.087,0.30145,1750259071.9,0,0,0,5,0.46,2.3
19,19.087,0.3181166667,1750259072.901,0,0,0,4.99,0.55,2.74
20,20.088,0.3348,1750259073.899,0,0,0,4.99,0.45,2.25
21,21.087,0.35145,1750259074.899,0,0,0,4.99,0.45,2.25
22,22.088,0.3681333333,1750259075.899,0,0,0,5,0.43,2.15
23,23.087,0.3847833333,1750259076.901,0,0,0,5,0.49,2.45
24,24.088,0.4014666667,1750259077.902,0,0,0,4.99,0.5,2.49
25,25.087,0.4181166667,1750259078.922,0,0,0,5,0.5,2.4
26,26.087,0.4347833333,1750259079.908,0,0,0,4.99,0.49,2.45
27,27.087,0.45145,1750259080.907,0,0,0,4.99,0.48,2.4
28,28.088,0.4681333333,1750259081.902,0,0,0,5,0.37,1.85
29,29.087,0.4847833333,1750259082.9,0,0,0,4.99,0.37,1.85
30,30.088,0.5014666667,1750259083.902,0,0,0,5,0.37,1.85
31,31.088,0.5181333333,1750259084.901,0,0,0,4.99,0.37,1.85
32,32.087,0.5347833333,1750259085.903,0,0,0,4.99,0.37,1.85
33,33.088,0.5514666667,1750259086.903,0,0,0,4.99,0.37,1.85
34,34.087,0.5681166667,1750259087.904,0,0,0,4.99,0.37,1.85
