"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.073,0.0012166667,1750243198.055,0,0,0,5,0.41,2.05
1,1.073,0.0178833333,1750243199.056,0,0,0,5,0.4,2
2,2.073,0.03455,1750243200.055,0,0,0,5,0.4,2
3,3.073,0.0512166667,1750243201.052,0,0,0,5,0.35,1.75
4,4.073,0.0678833333,1750243202.056,0,0,0,5,0.35,1.75
5,5.073,0.08455,1750243203.053,0,0,0,5,0.35,1.75
6,6.074,0.1012333333,1750243204.058,0,0,0,5,0.35,1.75
7,7.073,0.1178833333,1750243205.055,0,0,0,5,0.39,1.95
8,8.073,0.13455,1750243206.056,0,0,0,5,0.4,2
9,9.073,0.1512166667,1750243207.054,0,0,0,5,0.4,2
10,10.073,0.1678833333,1750243208.059,0,0,0,5,0.35,1.75
11,11.074,0.1845666667,1750243209.074,0,0,0,5,0.35,1.75
12,12.073,0.2012166667,1750243210.057,0,0,0,5,0.44,2.2
13,13.073,0.2178833333,1750243211.065,0,0,0,5,0.58,2.9
14,14.074,0.2345666667,1750243212.058,0,0,0,5,0.61,3.05
15,15.073,0.2512166667,1750243213.061,0,0,0,5,0.66,3.3
16,16.073,0.2678833333,1750243214.056,0,0,0,5,0.58,2.9
17,17.073,0.28455,1750243215.056,0,0,0,5,0.63,3.15
18,18.073,0.3012166667,1750243216.06,0,0,0,5,0.47,2.35
19,19.074,0.3179,1750243217.055,0,0,0,5,0.47,2.35
20,20.074,0.3345666667,1750243218.055,0,0,0,5,0.47,2.35
21,21.074,0.3512333333,1750243219.06,0,0,0,5,0.44,2.2
22,22.074,0.3679,1750243220.057,0,0,0,5,0.37,1.85
23,23.073,0.38455,1750243221.078,0,0,0,5,0.49,2.45
24,24.073,0.4012166667,1750243222.055,0,0,0,5,0.49,2.45
25,25.074,0.4179,1750243223.056,0,0,0,5,0.49,2.45
26,26.073,0.43455,1750243224.055,0,0,0,5,0.45,2.25
27,27.073,0.4512166667,1750243225.054,0,0,0,5,0.45,2.25
28,28.073,0.4678833333,1750243226.059,0,0,0,5,0.37,1.85
29,29.073,0.48455,1750243227.056,0,0,0,5,0.37,1.85
30,30.073,0.5012166667,1750243228.053,0,0,0,5,0.37,1.85
31,31.073,0.5178833333,1750243229.055,0,0,0,5,0.37,1.85
32,32.073,0.53455,1750243230.054,0,0,0,5,0.37,1.85
33,33.073,0.5512166667,1750243231.056,0,0,0,5,0.37,1.85
34,34.073,0.5678833333,1750243232.08,0,0,0,5,0.37,1.85
35,35.073,0.58455,1750243233.054,0,0,0,5,0.37,1.85
36,36.073,0.6012166667,1750243234.061,0,0,0,5,0.37,1.85
37,37.073,0.6178833333,1750243235.058,0,0,0,5,0.37,1.85
38,38.074,0.6345666667,1750243236.062,0,0,0,5,0.37,1.85
39,39.073,0.6512166667,1750243237.058,0,0,0,5,0.37,1.85
40,40.073,0.6678833333,1750243238.063,0,0,0,5,0.37,1.85
41,41.073,0.68455,1750243239.061,0,0,0,5,0.37,1.85
42,42.074,0.7012333333,1750243240.058,0,0,0,5,0.37,1.85
43,43.073,0.7178833333,1750243241.059,0,0,0,5,0.37,1.85
44,44.073,0.73455,1750243242.059,0,0,0,5,0.37,1.85
45,45.073,0.7512166667,1750243243.054,0,0,0,5,0.37,1.85
46,46.073,0.7678833333,1750243244.08,0,0,0,5,0.37,1.85
47,47.074,0.7845666667,1750243245.056,0,0,0,5,0.37,1.85
48,48.074,0.8012333333,1750243246.055,0,0,0,5,0.37,1.85
49,49.074,0.8179,1750243247.06,0,0,0,5,0.37,1.85
50,50.073,0.83455,1750243248.059,0,0,0,5,0.37,1.85
51,51.073,0.8512166667,1750243249.059,0,0,0,5,0.37,1.85
52,52.073,0.8678833333,1750243250.059,0,0,0,5,0.46,2.3
53,53.073,0.88455,1750243251.056,0,0,0,5,0.45,2.25
54,54.073,0.9012166667,1750243252.059,0,0,0,5,0.45,2.25
55,55.073,0.9178833333,1750243253.055,0,0,0,5,0.45,2.25
56,56.073,0.93455,1750243254.055,0,0,0,5,0.45,2.25
57,57.073,0.9512166667,1750243255.054,0,0,0,5,0.45,2.25
58,58.073,0.9678833333,1750243256.078,0,0,0,5,0.37,1.85
59,59.073,0.98455,1750243257.056,0,0,0,5,0.37,1.85
60,60.073,1.0012166667,1750243258.058,0,0,0,5,0.37,1.85
61,61.073,1.0178833333,1750243259.056,0,0,0,5,0.37,1.85
62,62.074,1.0345666667,1750243260.061,0,0,0,5,0.37,1.85
63,63.073,1.0512166667,1750243261.061,0,0,0,5,0.37,1.85
64,64.073,1.0678833333,1750243262.058,0,0,0,5,0.37,1.85
65,65.073,1.08455,1750243263.059,0,0,0,5,0.37,1.85
66,66.074,1.1012333333,1750243264.058,0,0,0,5,0.37,1.85
67,67.073,1.1178833333,1750243265.061,0,0,0,5,0.37,1.85
68,68.074,1.1345666667,1750243266.054,0,0,0,5,0.37,1.85
69,69.074,1.1512333333,1750243267.062,0,0,0,5,0.37,1.85
70,70.073,1.1678833333,1750243268.076,0,0,0,5,0.37,1.85
71,71.073,1.18455,1750243269.057,0,0,0,5,0.37,1.85
72,72.074,1.2012333333,1750243270.057,0,0,0,5,0.37,1.85
73,73.073,1.2178833333,1750243271.054,0,0,0,5,0.37,1.85
74,74.073,1.23455,1750243272.061,0,0,0,5,0.37,1.85
75,75.073,1.2512166667,1750243273.054,0,0,0,5,0.37,1.85
76,76.073,1.2678833333,1750243274.057,0,0,0,5,0.37,1.85
77,77.073,1.28455,1750243275.054,0,0,0,5,0.37,1.85
78,78.073,1.3012166667,1750243276.058,0,0,0,5,0.37,1.85
79,79.074,1.3179,1750243277.055,0,0,0,5,0.37,1.85
