"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.066,0.0011,1750164557.715,0,0,0,5,0.37,1.85
1,1.066,0.0177666667,1750164558.712,0,0,0,5,0.37,1.85
2,2.067,0.03445,1750164559.714,0,0,0,5,0.37,1.85
3,3.066,0.0511,1750164560.723,0,0,0,5,0.37,1.85
4,4.067,0.0677833333,1750164561.713,0,0,0,5,0.37,1.85
5,5.067,0.08445,1750164562.715,0,0,0,4.99,0.37,1.85
6,6.067,0.1011166667,1750164563.716,0,0,0,4.99,0.37,1.85
7,7.066,0.1177666667,1750164564.714,0,0,0,5,0.37,1.85
8,8.066,0.1344333333,1750164565.718,0,0,0,5,0.37,1.85
9,9.066,0.1511,1750164566.712,0,0,0,5,0.37,1.85
10,10.067,0.1677833333,1750164567.716,0,0,0,5,0.37,1.85
11,11.066,0.1844333333,1750164568.713,0,0,0,5,0.45,2.25
12,12.066,0.2011,1750164569.712,0,0,0,5,0.61,3.05
13,13.066,0.2177666667,1750164570.713,0,0,0,4.99,0.58,2.89
14,14.066,0.2344333333,1750164571.715,0,0,0,4.99,0.57,2.84
15,15.066,0.2511,1750164572.727,0,0,0,4.99,0.45,2.25
16,16.066,0.2677666667,1750164573.712,0,0,0,4.99,0.43,1.85
17,17.066,0.2844333333,1750164574.712,0,0,0,4.99,0.42,2.1
18,18.067,0.3011166667,1750164575.715,0,0,0,4.99,0.37,1.85
19,19.066,0.3177666667,1750164576.715,0,0,0,5,0.37,1.85
20,20.066,0.3344333333,1750164577.715,0,0,0,4.99,0.37,1.85
21,21.067,0.3511166667,1750164578.713,0,0,0,4.99,0.37,1.85
22,22.066,0.3677666667,1750164579.712,0,0,0,4.99,0.37,1.85
23,23.066,0.3844333333,1750164580.718,0,0,0,4.99,0.37,1.85
24,24.066,0.4011,1750164581.715,0,0,0,4.99,0.37,1.85
25,25.066,0.4177666667,1750164582.715,0,0,0,4.99,0.37,1.85
26,26.066,0.4344333333,1750164583.713,0,0,0,5,0.37,1.85
27,27.067,0.4511166667,1750164584.718,0,0,0,4.99,0.37,1.85
28,28.067,0.4677833333,1750164585.711,0,0,0,5,0.37,1.85
29,29.066,0.4844333333,1750164586.712,0,0,0,5,0.37,1.85
30,30.066,0.5011,1750164587.719,0,0,0,5,0.37,1.85
31,31.066,0.5177666667,1750164588.712,0,0,0,4.99,0.37,1.85
32,32.067,0.53445,1750164589.714,0,0,0,5,0.37,1.85
33,33.067,0.5511166667,1750164590.717,0,0,0,5,0.37,1.85
34,34.066,0.5677666667,1750164591.715,0,0,0,4.99,0.37,1.85
35,35.066,0.5844333333,1750164592.717,0,0,0,5,0.37,1.85
36,36.067,0.6011166667,1750164593.713,0,0,0,4.99,0.37,1.85
37,37.066,0.6177666667,1750164594.716,0,0,0,4.99,0.37,1.85
38,38.067,0.63445,1750164595.713,0,0,0,5,0.37,1.85
39,39.066,0.6511,1750164596.717,0,0,0,5,0.37,1.85
40,40.066,0.6677666667,1750164597.735,0,0,0,5,0.37,1.85
41,41.066,0.6844333333,1750164598.712,0,0,0,5,0.37,1.85
42,42.066,0.7011,1750164599.713,0,0,0,5,0.37,1.85
43,43.067,0.7177833333,1750164600.719,0,0,0,5,0.37,1.85
44,44.066,0.7344333333,1750164601.712,0,0,0,5,0.37,1.85
45,45.066,0.7511,1750164602.713,0,0,0,5,0.45,2.25
46,46.066,0.7677666667,1750164603.712,0,0,0,5,0.45,2.25
47,47.066,0.7844333333,1750164604.712,0,0,0,5,0.45,2.25
48,48.067,0.8011166667,1750164605.714,0,0,0,5,0.45,2.25
49,49.066,0.8177666667,1750164606.711,0,0,0,5,0.45,2.25
50,50.066,0.8344333333,1750164607.712,0,0,0,5,0.37,1.85
51,51.066,0.8511,1750164608.715,0,0,0,5,0.37,1.85
52,52.067,0.8677833333,1750164609.71,0,0,0,5,0.37,1.85
53,53.067,0.88445,1750164610.713,0,0,0,5,0.37,1.85
54,54.067,0.9011166667,1750164611.711,0,0,0,5,0.37,1.85
55,55.066,0.9177666667,1750164612.713,0,0,0,5,0.37,1.85
56,56.067,0.93445,1750164613.717,0,0,0,5,0.37,1.85
57,57.066,0.9511,1750164614.713,0,0,0,5,0.37,1.85
58,58.066,0.9677666667,1750164615.714,0,0,0,5,0.37,1.85
59,59.066,0.9844333333,1750164616.72,0,0,0,5,0.37,1.85
60,60.066,1.0011,1750164617.717,0,0,0,5,0.37,1.85
61,61.067,1.0177833333,1750164618.713,0,0,0,5,0.37,1.85
62,62.067,1.03445,1750164619.713,0,0,0,5,0.37,1.85
63,63.066,1.0511,1750164620.74,0,0,0,5,0.37,1.85
64,64.066,1.0677666667,1750164621.712,0,0,0,5,0.37,1.85
65,65.066,1.0844333333,1750164622.713,0,0,0,5,0.37,1.85
66,66.066,1.1011,1750164623.715,0,0,0,5,0.37,1.85
67,67.066,1.1177666667,1750164624.715,0,0,0,4.99,0.37,1.85
68,68.067,1.13445,1750164625.712,0,0,0,4.99,0.37,1.85
69,69.066,1.1511,1750164626.718,0,0,0,5,0.37,1.85
70,70.066,1.1677666667,1750164627.712,0,0,0,5,0.37,1.85
71,71.066,1.1844333333,1750164628.71,0,0,0,5,0.37,1.85
72,72.066,1.2011,1750164629.714,0,0,0,5,0.37,1.85
73,73.067,1.2177833333,1750164630.713,0,0,0,5,0.37,1.85
74,74.066,1.2344333333,1750164631.715,0,0,0,5,0.37,1.85
75,75.067,1.2511166667,1750164632.733,0,0,0,5,0.37,1.85
76,76.066,1.2677666667,1750164633.713,0,0,0,5,0.37,1.85
77,77.066,1.2844333333,1750164634.713,0,0,0,5,0.37,1.85
78,78.066,1.3011,1750164635.716,0,0,0,5,0.37,1.85
79,79.066,1.3177666667,1750164636.716,0,0,0,5,0.37,1.85
80,80.066,1.3344333333,1750164637.717,0,0,0,5,0.37,1.85
81,81.067,1.3511166667,1750164638.714,0,0,0,5,0.37,1.85
82,82.066,1.3677666667,1750164639.718,0,0,0,5,0.37,1.85
83,83.067,1.38445,1750164640.712,0,0,0,5,0.37,1.85
84,84.067,1.4011166667,1750164641.713,0,0,0,5,0.37,1.85
85,85.066,1.4177666667,1750164642.72,0,0,0,5,0.37,1.85
86,86.066,1.4344333333,1750164643.712,0,0,0,5,0.37,1.85
87,87.067,1.4511166667,1750164644.736,0,0,0,5,0.37,1.85
88,88.066,1.4677666667,1750164645.712,0,0,0,5,0.37,1.85
89,89.066,1.4844333333,1750164646.716,0,0,0,5,0.37,1.85
90,90.067,1.5011166667,1750164647.714,0,0,0,5,0.37,1.85
91,91.066,1.5177666667,1750164648.713,0,0,0,5,0.41,2.05
92,92.066,1.5344333333,1750164649.713,0,0,0,5,0.37,1.85
93,93.066,1.5511,1750164650.715,0,0,0,5,0.37,1.85
94,94.066,1.5677666667,1750164651.713,0,0,0,5,0.37,1.85
95,95.066,1.5844333333,1750164652.717,0,0,0,5,0.37,1.85
96,96.067,1.6011166667,1750164653.712,0,0,0,4.99,0.37,1.85
97,97.067,1.6177833333,1750164654.716,0,0,0,5,0.37,1.85
98,98.067,1.63445,1750164655.717,0,0,0,5,0.37,1.85
99,99.066,1.6511,1750164656.728,0,0,0,5,0.37,1.85
100,100.066,1.6677666667,1750164657.712,0,0,0,5,0.37,1.85
