"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.045,0.00075,1733817254.317,5,0.37,1.85,0,0,0
1,1.046,0.0174333333,1733817255.314,5,0.37,1.85,0,0,0
2,2.045,0.0340833333,1733817256.323,5,0.37,1.85,0,0,0
3,3.045,0.05075,1733817257.33,5,0.37,1.85,0,0,0
4,4.045,0.0674166667,1733817258.314,5,0.37,1.85,0,0,0
5,5.045,0.0840833333,1733817259.314,5,0.37,1.85,0,0,0
6,6.045,0.10075,1733817260.313,5,0.37,1.85,0,0,0
7,7.045,0.1174166667,1733817261.32,5,0.37,1.85,0,0,0
8,8.046,0.1341,1733817262.317,5,0.37,1.85,0,0,0
9,9.045,0.15075,1733817263.314,5,0.37,1.85,0,0,0
10,10.045,0.1674166667,1733817264.318,5,0.37,1.85,0,0,0
11,11.046,0.1841,1733817265.313,5,0.37,1.85,0,0,0
12,12.045,0.20075,1733817266.316,5,0.45,2.25,0,0,0
13,13.045,0.2174166667,1733817267.315,5,0.61,3.05,0,0,0
14,14.045,0.2340833333,1733817268.324,5,0.56,2.8,0,0,0
15,15.045,0.25075,1733817269.312,5,0.58,2.9,0,0,0
16,16.046,0.2674333333,1733817270.314,5,0.45,2.25,0,0,0
17,17.045,0.2840833333,1733817271.321,5,0.37,1.85,0,0,0
18,18.046,0.3007666667,1733817272.312,5,0.37,1.85,0,0,0
19,19.045,0.3174166667,1733817273.316,5,0.37,1.85,0,0,0
20,20.045,0.3340833333,1733817274.315,5,0.37,1.85,0,0,0
21,21.045,0.35075,1733817275.315,5,0.37,1.85,0,0,0
22,22.045,0.3674166667,1733817276.313,5,0.37,1.85,0,0,0
23,23.045,0.3840833333,1733817277.316,5,0.37,1.85,0,0,0
24,24.045,0.40075,1733817278.316,5,0.37,1.85,0,0,0
25,25.046,0.4174333333,1733817279.32,5,0.37,1.85,0,0,0
26,26.046,0.4341,1733817280.323,5,0.37,1.85,0,0,0
27,27.045,0.45075,1733817281.336,5,0.37,1.85,0,0,0
28,28.046,0.4674333333,1733817282.322,5,0.37,1.85,0,0,0
29,29.046,0.4841,1733817283.317,5,0.37,1.85,0,0,0
30,30.045,0.50075,1733817284.319,5,0.37,1.85,0,0,0
31,31.045,0.5174166667,1733817285.319,5,0.37,1.85,0,0,0
32,32.045,0.5340833333,1733817286.313,5,0.37,1.85,0,0,0
33,33.045,0.55075,1733817287.316,5,0.37,1.85,0,0,0
34,34.045,0.5674166667,1733817288.314,5,0.37,1.85,0,0,0
35,35.045,0.5840833333,1733817289.315,5,0.37,1.85,0,0,0
36,36.045,0.60075,1733817290.317,5,0.37,1.85,0,0,0
37,37.045,0.6174166667,1733817291.314,5,0.37,1.85,0,0,0
38,38.045,0.6340833333,1733817292.343,5,0.37,1.85,0,0,0
39,39.045,0.65075,1733817293.319,5,0.37,1.85,0,0,0
40,40.045,0.6674166667,1733817294.314,5,0.37,1.85,0,0,0
41,41.045,0.6840833333,1733817295.312,5,0.37,1.85,0,0,0
42,42.045,0.70075,1733817296.314,5,0.37,1.85,0,0,0
43,43.045,0.7174166667,1733817297.318,5,0.37,1.85,0,0,0
44,44.045,0.7340833333,1733817298.313,5,0.37,1.85,0,0,0
45,45.045,0.75075,1733817299.318,5,0.37,1.85,0,0,0
46,46.045,0.7674166667,1733817300.316,5,0.45,2.25,0,0,0
47,47.045,0.7840833333,1733817301.316,5,0.45,2.25,0,0,0
48,48.046,0.8007666667,1733817302.314,5,0.45,2.25,0,0,0
49,49.045,0.8174166667,1733817303.313,5,0.45,2.25,0,0,0
50,50.045,0.8340833333,1733817304.341,5,0.45,2.25,0,0,0
51,51.045,0.85075,1733817305.319,5,0.37,1.85,0,0,0
52,52.045,0.8674166667,1733817306.313,5,0.37,1.85,0,0,0
53,53.045,0.8840833333,1733817307.319,5,0.37,1.85,0,0,0
54,54.046,0.9007666667,1733817308.318,5,0.37,1.85,0,0,0
55,55.046,0.9174333333,1733817309.314,5,0.37,1.85,0,0,0
56,56.045,0.9340833333,1733817310.314,5,0.37,1.85,0,0,0
57,57.045,0.95075,1733817311.313,5,0.37,1.85,0,0,0
58,58.046,0.9674333333,1733817312.314,5,0.37,1.85,0,0,0
59,59.045,0.9840833333,1733817313.316,5,0.37,1.85,0,0,0
60,60.045,1.00075,1733817314.318,5,0.37,1.85,0,0,0
61,61.045,1.0174166667,1733817315.323,5,0.37,1.85,0,0,0
62,62.045,1.0340833333,1733817316.313,5,0.37,1.85,0,0,0
63,63.046,1.0507666667,1733817317.313,5,0.37,1.85,0,0,0
64,64.045,1.0674166667,1733817318.319,5,0.37,1.85,0,0,0
65,65.046,1.0841,1733817319.314,5,0.37,1.85,0,0,0
66,66.045,1.10075,1733817320.32,5,0.37,1.85,0,0,0
67,67.045,1.1174166667,1733817321.318,5,0.37,1.85,0,0,0
68,68.045,1.1340833333,1733817322.313,5,0.37,1.85,0,0,0
69,69.045,1.15075,1733817323.315,5,0.37,1.85,0,0,0
70,70.045,1.1674166667,1733817324.315,5,0.37,1.85,0,0,0
71,71.045,1.1840833333,1733817325.318,5,0.37,1.85,0,0,0
72,72.046,1.2007666667,1733817326.318,5,0.37,1.85,0,0,0
73,73.045,1.2174166667,1733817327.319,5,0.37,1.85,0,0,0
74,74.046,1.2341,1733817328.339,5,0.37,1.85,0,0,0
75,75.045,1.25075,1733817329.313,5,0.37,1.85,0,0,0
76,76.045,1.2674166667,1733817330.319,5,0.37,1.85,0,0,0
77,77.045,1.2840833333,1733817331.317,5,0.37,1.85,0,0,0
78,78.045,1.30075,1733817332.315,5,0.37,1.85,0,0,0
79,79.046,1.3174333333,1733817333.321,5,0.37,1.85,0,0,0
80,80.045,1.3340833333,1733817334.318,5,0.37,1.85,0,0,0
81,81.045,1.35075,1733817335.313,5,0.37,1.85,0,0,0
82,82.046,1.3674333333,1733817336.317,5,0.37,1.85,0,0,0
83,83.045,1.3840833333,1733817337.317,5,0.37,1.85,0,0,0
84,84.045,1.40075,1733817338.32,5,0.37,1.85,0,0,0
85,85.045,1.4174166667,1733817339.321,5,0.37,1.85,0,0,0
86,86.046,1.4341,1733817340.337,5,0.37,1.85,0,0,0
87,87.045,1.45075,1733817341.316,5,0.37,1.85,0,0,0
88,88.045,1.4674166667,1733817342.314,5,0.37,1.85,0,0,0
